name,id,fb_id,fb_name,type,lat,lon
Albert Court,a1s0O000002z4uRQAQ,23842736844340024,swl - South East - Henley-On-Thames - RLP Albert Court,Retirement Living Plus,51.5275516,-0.8954417
Ashbrae,a1s0O000002z56yQAA,23843374658480024,twl - Scotland - Newton Mearns - LL Ashbrae,Lifestyle Living,55.77464,-4.33011
Atwood House,a1s0O000002z4uGQAQ,23842738312080024,South East - Sanderstead - RL Atwood House,Retirement Living,51.3376,-0.0742
Augustus House,a1s0O0000030aOkQAI,23842738219130024,swl - South East - Virginia Water - RLP Augustus House,Retirement Living Plus,51.4013,-0.5634
Baldock,a1s3X000002XXyiQAG,23846262109940024,new - North London - Baldock - RL Baldock,Retirement Living Plus,51.99128,-0.19259
Balshaw Court,a1s0O000002z5DPQAY,23844560621150024,twl - North West - Leyland - RLP Balshaw Court,Retirement Living Plus,53.68997,-2.68924
Beck House,a1s0O000002z579QAA,23843018616900024,swl - North London - Isleworth - RL Beck House,Retirement Living,51.4680513,-0.3292033
Beckett Grange,a1s0O000002z578QAA,23842898557060024,twl - North East - Barnsley - RL Beckett Grange,Retirement Living,53.55569,-1.48512
Birch Place,a1s0O000002z4ucQAA,23845859258380024,swl-upw - Southern - Crowthorne - RLP Birch Place,Retirement Living Plus,51.3691097,-0.804286
Brigg Court,a1s0O000002z5B3QAI,23842885567090024,twl - North East - Filey - RL Brigg Court,Retirement Living,54.2147815,-0.289023
Brindley Gardens,a1s0O000002z4v3QAA,23845859087490024,swl-upw - West Midlands - Codsall - RL Brindley Gardens,Retirement Living,52.62645,-2.18053
Burrstone Grange,a1s0O000002z4ulQAA,23844312090900024,swl-upw - North West - Thornton-Cleveleys - RL Burrstone Grange,Retirement Living,53.88544,-3.01548
Campbell House,a1s0O000002z57bQAA,23843996805850024,twl - South East - Weybridge - RLP Campbell House,Retirement Living Plus,51.3679,-0.4458
Canning Place,a1s0O000002z4uwQAA,23845858431230024,swl-upw - Southern - Marlborough - RL Canning Place,Retirement Living,51.415518,-1.732067
Casterbridge Court,a1s0O000002z5AkQAI,23843807563810024,twl - Southern - Dorchester- RL Casterbridge Court,Retirement Living,50.7157673,-2.4293708
Castle Gate,a1s0O000002z5A9QAI,23843992598800024,swl-upw - Southern - Salisbury - RL Castle Gate,Retirement Living,51.072392,-1.795545
Chantry Gardens,a1s0O000002z5B4QAI,23844315282050024,twl - North East - Filey - LL Chantry Gardens,Retirement Living,54.2154509,-0.2881264
Chiltern Place,a1s0O000002z5AFQAY,23844073665370024,swl - North London - Amersham - RLP Chiltern Place,Retirement Living Plus,51.6659,-0.6134
Chipstead,a1s0O000002z5AHQAY,23844032847300024,twl - South East - RL Chipstead - Goldfinch House,Retirement Living,51.3127,-0.1686
Clarendon House,a1s0O000002z5AKQAY,23845206874170024,fwl-upw - Southern - Poole - RL Clarendon House,Retirement Living,50.717442,-1.908152
Clemens Place,a1s0O000002z59xQAA,23843456686340024,twl - North London - Ampthill - RL Clemens Place,Retirement Living,52.031599,-0.497964
