Campaign name,Campaign ID,Amount spent (GBP)
twl - East Midlands - Stalham - RL Staithe Gardens,23843071148620024,1200.06
swl - Southern - Southampton - RL The Boathouse,23843219240740024,1220.01
twl - North London - Chelmsford - RL Walter House,23843370641770024,1208.05
twl - North London - Milton Keynes - RL Jupiter House,23843374033400024,1639.57
twl - South East - Dover - Elkington House RLP,23843374049720024,1641.64
twl - Scotland - Newton Mearns - LL Ashbrae,23843374658480024,1185.85
twl - North London - Ampthill - RL Clemens Place,23843456686340024,1638.05
twl - East Midlands - Quorn - RL Farnham House,23843527232160024,956.56
twl - North East - Bingley - RL Whitelock Grange,23843789701830024,1233.66
twl - Southern - Dorchester- RL Casterbridge Court,23843807563810024,1192.67
twl - Southern - Southampton - RL Hampton Place,23843807615850024,1207.67
twl-upw - Southern - Thatcham - RLP William House,23843807652370024,794.8
twl-upw - Southern - Thatcham - RL Turner Place,23843810983850024,800.85
twl - North West - Malpas - RL The Cedars,23843833764050024,1226.03
twl - East Midlands - Woodhall Spa - RL Gibson Court,23843861401410024,1195.55
twl-upw - East Midlands - Hinckley - RL Elizabeth Coxhead Gardens,23843870287760024,791.57
swl - North West - Poulton-Le-Fylde - RLP Crocus Court,23843932006830024,1261.66
swl - North West - Chorley - RL Haworth Court,23843932323210024,1231.12
swl-upw - North West - Hazel Grove - RL Hampson Court ,23843976653270024,572.95
fwl-upw - North London - Bedford - RL Oakhill Place,23843992178250024,1110.08
twl - West Midlands - Gloucester - RL Scudamore Place,23843992257610024,1196.7
swl-upw - Southern - Salisbury - RL Castle Gate,23843992598800024,594.06
twl - North London - Knebworth - RLP Lowe House,23843992754980024,1228.95
twl-upw - North London - Waltham Abbey - RL Lionheart Court ,23843993072260024,1249.03
swl-upw - North London - Buntingford - RL The Apartments at Royal Gardens,23843996730940024,651.11
twl - South East - Weybridge - RLP Campbell House,23843996805850024,1652.57
twl-upw - Southern - Swindon - RLP Gilbert Place,23844001830490024,781.32
twl - Southern - Basingstoke - RL Island View,23844032777250024,1667.32
twl - South East - RL Chipstead - Goldfinch House,23844032847300024,1202.58
twl - Southern - Bridport - RL Gordon Court,23844036130720024,1193.61
swl - North London - Amersham - RLP Chiltern Place,23844073665370024,1258.57
twl - North West - Buxton - RLP Devonshire Place,23844214337300024,1634.22
twl North West - Garstang - RL Stanley Place,23844217957090024,1213.53
twl North West - Garstang - RL Garstang Bungalows,23844218171940024,1223.37
twl - Southern - Taunton - RLP Kingfisher Court,23844243974850024,1626.38
swl-upw - North East - Darlington - RL Swinden Court,23844258828060024,1031.43
